event_id,threshold,entry_date,triggered,low_date,days_from_low,entry_drawdown,low_drawdown,fwd_21d,fwd_63d
1,8,2018-02-14T00:00:00,True,2018-02-08T00:00:00,6.0,-0.04826532350761237,-0.10226426618565776,0.05126619541621036,0.04041157753258151
2,8,2018-03-29T00:00:00,True,2018-04-02T00:00:00,-4.0,-0.07864336569675168,-0.10522597980872284,0.00505846545880595,0.0713569995267298
3,8,2018-10-15T00:00:00,True,2018-12-24T00:00:00,-70.0,-0.07614889730380203,-0.22796623824208295,-0.03333146890217231,-0.05455862260168931
4,8,2019-05-15T00:00:00,True,2019-06-03T00:00:00,-19.0,-0.041965090915404346,-0.1098320321251457,-0.0024577866067228005,0.0004042727446982308
5,8,2019-08-08T00:00:00,True,2019-08-05T00:00:00,3.0,-0.03599772080589447,-0.0745557450174823,0.01556344896810713,0.06322559197212207
6,8,2020-03-03T00:00:00,True,2020-03-16T00:00:00,-13.0,-0.11604351145084124,-0.2855936425707133,-0.12784743683676836,0.12722992200971595
7,8,2020-09-11T00:00:00,True,2020-09-23T00:00:00,-12.0,-0.10671832331724318,-0.12749406591375545,0.08903658286681093,0.11857984144563649
8,8,2021-03-01T00:00:00,True,2021-03-08T00:00:00,-7.0,-0.038222468313070634,-0.10851519618796535,-0.027420232339187334,0.033257205256977285
9,8,2021-05-18T00:00:00,True,2021-05-12T00:00:00,6.0,-0.057864297839245515,-0.0734481816853787,0.07175232615091631,0.1363489408591525
10,8,2021-10-05T00:00:00,True,2021-10-04T00:00:00,1.0,-0.06368278297645913,-0.07615393977967622,0.10017333121572936,0.11079644906996955
11,8,2022-01-13T00:00:00,True,2022-11-03T00:00:00,-294.0,-0.06399319840814144,-0.35118714912770055,-0.07988647216951694,-0.10276847024338476
12,8,2023-08-23T00:00:00,True,2023-08-18T00:00:00,5.0,-0.04311200511502322,-0.07157651690455447,-0.028939471535988637,0.05397397856828956
13,8,2023-09-28T00:00:00,True,2023-10-26T00:00:00,-28.0,-0.0705442391471377,-0.10779945251606837,-0.03547395298771305,0.15175062600456712
14,8,2024-04-23T00:00:00,True,2024-04-19T00:00:00,4.0,-0.04773964218465521,-0.07108293455329961,0.07208234694011018,0.09185904059362349
15,8,2024-07-26T00:00:00,True,2024-08-07T00:00:00,-12.0,-0.0795092148067198,-0.13557739553521508,0.026718634424276466,0.06488922548258502
16,8,2025-03-14T00:00:00,True,2025-04-08T00:00:00,-25.0,-0.11095060219336861,-0.22768317249200065,-0.044818749659484625,0.10024978607620505
17,8,2025-11-24T00:00:00,True,2025-11-20T00:00:00,4.0,-0.048146339573963415,-0.07880207882684143,0.03234493626135082,0.008039087922823374
18,8,2026-03-17T00:00:00,True,2026-03-30T00:00:00,-13.0,-0.04983357013593237,-0.11964363794311839,0.06293207844040771,0.2112848489445558
19,8,2026-06-12T00:00:00,True,2026-06-10T00:00:00,2.0,-0.03326360492201519,-0.07031997684181479,,
1,9,2018-02-23T00:00:00,True,2018-02-08T00:00:00,15.0,-0.01614692984875321,-0.10226426618565776,-0.020832051562916565,0.00984169680144853
2,9,2018-04-05T00:00:00,True,2018-04-02T00:00:00,3.0,-0.0756513727357766,-0.10522597980872284,0.026268315166899203,0.07868115173870138
3,9,2018-10-17T00:00:00,True,2018-12-24T00:00:00,-68.0,-0.04889682231657422,-0.22796623824208295,-0.05189192775862461,-0.0652443402717292
4,9,2019-05-15T00:00:00,True,2019-06-03T00:00:00,-19.0,-0.041965090915404346,-0.1098320321251457,-0.0024577866067228005,0.0004042727446982308
5,9,2019-08-13T00:00:00,True,2019-08-05T00:00:00,8.0,-0.03533215439673609,-0.0745557450174823,0.025691316562110655,0.06887446929852348
6,9,2020-03-05T00:00:00,True,2020-03-16T00:00:00,-11.0,-0.1071398544414578,-0.2855936425707133,-0.13152421822947857,0.11314762745417362
7,9,2020-09-11T00:00:00,True,2020-09-23T00:00:00,-12.0,-0.10671832331724318,-0.12749406591375545,0.08903658286681093,0.11857984144563649
8,9,2021-03-01T00:00:00,True,2021-03-08T00:00:00,-7.0,-0.038222468313070634,-0.10851519618796535,-0.027420232339187334,0.033257205256977285
9,9,2021-05-18T00:00:00,True,2021-05-12T00:00:00,6.0,-0.057864297839245515,-0.0734481816853787,0.07175232615091631,0.1363489408591525
10,9,2021-10-05T00:00:00,True,2021-10-04T00:00:00,1.0,-0.06368278297645913,-0.07615393977967622,0.10017333121572936,0.11079644906996955
11,9,2022-01-13T00:00:00,True,2022-11-03T00:00:00,-294.0,-0.06399319840814144,-0.35118714912770055,-0.07988647216951694,-0.10276847024338476
12,9,2023-08-23T00:00:00,True,2023-08-18T00:00:00,5.0,-0.04311200511502322,-0.07157651690455447,-0.028939471535988637,0.05397397856828956
13,9,2023-09-28T00:00:00,True,2023-10-26T00:00:00,-28.0,-0.0705442391471377,-0.10779945251606837,-0.03547395298771305,0.15175062600456712
14,9,2024-04-23T00:00:00,True,2024-04-19T00:00:00,4.0,-0.04773964218465521,-0.07108293455329961,0.07208234694011018,0.09185904059362349
15,9,2024-07-26T00:00:00,True,2024-08-07T00:00:00,-12.0,-0.0795092148067198,-0.13557739553521508,0.026718634424276466,0.06488922548258502
16,9,2025-03-14T00:00:00,True,2025-04-08T00:00:00,-25.0,-0.11095060219336861,-0.22768317249200065,-0.044818749659484625,0.10024978607620505
17,9,2025-11-24T00:00:00,True,2025-11-20T00:00:00,4.0,-0.048146339573963415,-0.07880207882684143,0.03234493626135082,0.008039087922823374
18,9,2026-03-17T00:00:00,True,2026-03-30T00:00:00,-13.0,-0.04983357013593237,-0.11964363794311839,0.06293207844040771,0.2112848489445558
19,9,2026-06-12T00:00:00,True,2026-06-10T00:00:00,2.0,-0.03326360492201519,-0.07031997684181479,,
1,10,2018-02-23T00:00:00,True,2018-02-08T00:00:00,15.0,-0.01614692984875321,-0.10226426618565776,-0.020832051562916565,0.00984169680144853
2,10,2018-04-10T00:00:00,True,2018-04-02T00:00:00,8.0,-0.07242913389034256,-0.10522597980872284,0.041374655123042725,0.1022855924048669
3,10,2018-10-17T00:00:00,True,2018-12-24T00:00:00,-68.0,-0.04889682231657422,-0.22796623824208295,-0.05189192775862461,-0.0652443402717292
4,10,2019-05-15T00:00:00,True,2019-06-03T00:00:00,-19.0,-0.041965090915404346,-0.1098320321251457,-0.0024577866067228005,0.0004042727446982308
5,10,2019-08-13T00:00:00,True,2019-08-05T00:00:00,8.0,-0.03533215439673609,-0.0745557450174823,0.025691316562110655,0.06887446929852348
6,10,2020-03-05T00:00:00,True,2020-03-16T00:00:00,-11.0,-0.1071398544414578,-0.2855936425707133,-0.13152421822947857,0.11314762745417362
7,10,2020-09-14T00:00:00,True,2020-09-23T00:00:00,-9.0,-0.0911616665486299,-0.12749406591375545,0.07035907784822992,0.09699815330474215
8,10,2021-03-10T00:00:00,True,2021-03-08T00:00:00,2.0,-0.07599906872727158,-0.10851519618796535,0.08574255474132819,0.08487319090394374
9,10,2021-05-20T00:00:00,True,2021-05-12T00:00:00,8.0,-0.038537200035457686,-0.0734481816853787,0.04844296852351615,0.1081171438517401
10,10,2021-10-05T00:00:00,True,2021-10-04T00:00:00,1.0,-0.06368278297645913,-0.07615393977967622,0.10017333121572936,0.11079644906996955
11,10,2022-01-13T00:00:00,True,2022-11-03T00:00:00,-294.0,-0.06399319840814144,-0.35118714912770055,-0.07988647216951694,-0.10276847024338476
12,10,2023-08-23T00:00:00,True,2023-08-18T00:00:00,5.0,-0.04311200511502322,-0.07157651690455447,-0.028939471535988637,0.05397397856828956
13,10,2023-09-28T00:00:00,True,2023-10-26T00:00:00,-28.0,-0.0705442391471377,-0.10779945251606837,-0.03547395298771305,0.15175062600456712
14,10,2024-04-26T00:00:00,True,2024-04-19T00:00:00,7.0,-0.03445481633492142,-0.07108293455329961,0.06654278569511596,0.0780447254260439
15,10,2024-07-31T00:00:00,True,2024-08-07T00:00:00,-7.0,-0.06340474701755605,-0.13557739553521508,-0.000870329824563254,0.06324505830064231
16,10,2025-03-14T00:00:00,True,2025-04-08T00:00:00,-25.0,-0.11095060219336861,-0.22768317249200065,-0.044818749659484625,0.10024978607620505
17,10,2025-11-24T00:00:00,True,2025-11-20T00:00:00,4.0,-0.048146339573963415,-0.07880207882684143,0.03234493626135082,0.008039087922823374
