event_id,threshold,entry_date,triggered,low_date,days_from_low,entry_drawdown,low_drawdown,fwd_21d,fwd_63d,trained_on_events,walk_forward_threshold
5,13,,False,2019-08-05T00:00:00,,,-0.07455587049626977,,,4,13
6,13,2020-03-24T00:00:00,True,2020-03-16T00:00:00,8.0,-0.22334629830252772,-0.2855937177525204,0.14624856357856353,0.35725089368253293,5,13
7,13,2020-09-15T00:00:00,True,2020-09-23T00:00:00,-8.0,-0.07827979391000761,-0.12749398490905817,0.046584581814203,0.08951454668891556,6,13
8,13,,False,2021-03-08T00:00:00,,,-0.10851518680294991,,,7,13
9,13,2021-05-26T00:00:00,True,2021-05-12T00:00:00,14.0,-0.023040302622523212,-0.07344811939024942,0.047093567276780046,0.12302049747115729,8,13
10,13,,False,2021-10-04T00:00:00,,,-0.07615353833082117,,,9,13
11,13,2022-01-31T00:00:00,True,2022-11-03T00:00:00,-276.0,-0.10020332669816234,-0.3511871079378961,-0.04360263909710904,-0.12168074776086824,10,13
12,13,,False,2023-08-18T00:00:00,,,-0.07157667039971494,,,11,13
13,13,2023-10-16T00:00:00,True,2023-10-26T00:00:00,-10.0,-0.04094779757658484,-0.10779924584277589,0.043095609189254036,0.10510789852952152,12,13
14,13,,False,2024-04-19T00:00:00,,,-0.07108294367104862,,,13,13
15,13,2024-08-13T00:00:00,True,2024-08-07T00:00:00,6.0,-0.08028475730666385,-0.13557745961827594,0.023001480323287193,0.11237438394778176,14,13
16,13,2025-03-19T00:00:00,True,2025-04-08T00:00:00,-20.0,-0.10867065066025972,-0.22768310492842747,-0.07512683489258831,0.10166320678816532,15,13
17,13,2025-11-28T00:00:00,True,2025-11-20T00:00:00,8.0,-0.02598423938820893,-0.07880209648706749,0.0015793514155220123,-0.02728286833062965,16,13
18,13,2026-04-09T00:00:00,True,2026-03-30T00:00:00,10.0,-0.03778641133279537,-0.11964367111609375,0.16558773107241498,,17,13
