ticker,cik,accession,accepted,report_date,metric,taxonomy,unit,reason,selected_value,observation_periods_and_values,source_sha256,source_pointer
KO,0000021344,0000021344-24-000060,2024-10-24T15:55:23.000Z,2024-09-27,cash_and_cash_equivalents,us-gaap:CashAndCashEquivalentsAtCarryingValue,USD,baseline_requires_frame_but_source_has_none,,"[{""accn"": ""0000021344-24-000060"", ""end"": ""2022-12-31"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""val"": 9519000000}, {""accn"": ""0000021344-24-000060"", ""end"": ""2023-09-29"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2023Q3I"", ""fy"": 2024, ""val"": 11883000000}, {""accn"": ""0000021344-24-000060"", ""end"": ""2023-12-31"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""val"": 9366000000}, {""accn"": ""0000021344-24-000060"", ""end"": ""2024-09-27"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""val"": 13938000000}]",97aef99b976f1f158b463dcb04efc4bb88449a8707b07711aebaec5571104ebd,/facts/us-gaap/CashAndCashEquivalentsAtCarryingValue/units/USD
KO,0000021344,0000021344-24-000060,2024-10-24T15:55:23.000Z,2024-09-27,cfo,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,baseline_requires_frame_but_source_has_none,,"[{""accn"": ""0000021344-24-000060"", ""end"": ""2023-09-29"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""start"": ""2023-01-01"", ""val"": 8929000000}, {""accn"": ""0000021344-24-000060"", ""end"": ""2024-09-27"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""start"": ""2024-01-01"", ""val"": 2854000000}]",97aef99b976f1f158b463dcb04efc4bb88449a8707b07711aebaec5571104ebd,/facts/us-gaap/NetCashProvidedByUsedInOperatingActivities/units/USD
KO,0000021344,0000021344-24-000060,2024-10-24T15:55:23.000Z,2024-09-27,capex,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,USD,baseline_requires_frame_but_source_has_none,,"[{""accn"": ""0000021344-24-000060"", ""end"": ""2023-09-29"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""start"": ""2023-01-01"", ""val"": 1001000000}, {""accn"": ""0000021344-24-000060"", ""end"": ""2024-09-27"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""start"": ""2024-01-01"", ""val"": 1261000000}]",97aef99b976f1f158b463dcb04efc4bb88449a8707b07711aebaec5571104ebd,/facts/us-gaap/PaymentsToAcquirePropertyPlantAndEquipment/units/USD
KO,0000021344,0000021344-24-000060,2024-10-24T15:55:23.000Z,2024-09-27,net_income,us-gaap:NetIncomeLoss,USD,baseline_requires_frame_but_source_has_none,,"[{""accn"": ""0000021344-24-000060"", ""end"": ""2023-09-29"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""start"": ""2023-01-01"", ""val"": 8741000000}, {""accn"": ""0000021344-24-000060"", ""end"": ""2023-09-29"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2023Q3"", ""fy"": 2024, ""start"": ""2023-07-01"", ""val"": 3087000000}, {""accn"": ""0000021344-24-000060"", ""end"": ""2024-09-27"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""start"": ""2024-01-01"", ""val"": 8436000000}, {""accn"": ""0000021344-24-000060"", ""end"": ""2024-09-27"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""start"": ""2024-06-29"", ""val"": 2848000000}]",97aef99b976f1f158b463dcb04efc4bb88449a8707b07711aebaec5571104ebd,/facts/us-gaap/NetIncomeLoss/units/USD
KO,0000021344,0000021344-24-000060,2024-10-24T15:55:23.000Z,2024-09-27,ebit,us-gaap:OperatingIncomeLoss,USD,baseline_requires_frame_but_source_has_none,,"[{""accn"": ""0000021344-24-000060"", ""end"": ""2023-09-29"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""start"": ""2023-01-01"", ""val"": 9038000000}, {""accn"": ""0000021344-24-000060"", ""end"": ""2023-09-29"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2023Q3"", ""fy"": 2024, ""start"": ""2023-07-01"", ""val"": 3270000000}, {""accn"": ""0000021344-24-000060"", ""end"": ""2024-09-27"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""start"": ""2024-01-01"", ""val"": 7283000000}, {""accn"": ""0000021344-24-000060"", ""end"": ""2024-09-27"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""start"": ""2024-06-29"", ""val"": 2510000000}]",97aef99b976f1f158b463dcb04efc4bb88449a8707b07711aebaec5571104ebd,/facts/us-gaap/OperatingIncomeLoss/units/USD
KO,0000021344,0000021344-24-000060,2024-10-24T15:55:23.000Z,2024-09-27,stock_based_compensation,us-gaap:ShareBasedCompensation,USD,baseline_requires_frame_but_source_has_none,,"[{""accn"": ""0000021344-24-000060"", ""end"": ""2023-09-29"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""start"": ""2023-01-01"", ""val"": 177000000}, {""accn"": ""0000021344-24-000060"", ""end"": ""2024-09-27"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""start"": ""2024-01-01"", ""val"": 207000000}]",97aef99b976f1f158b463dcb04efc4bb88449a8707b07711aebaec5571104ebd,/facts/us-gaap/ShareBasedCompensation/units/USD
KO,0000021344,0000021344-24-000060,2024-10-24T15:55:23.000Z,2024-09-27,basic_shares,dei:EntityCommonStockSharesOutstanding,shares,report_end_or_fiscal_context_mismatch,,"[{""accn"": ""0000021344-24-000060"", ""end"": ""2024-10-22"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2024Q3I"", ""fy"": 2024, ""val"": 4307797138}]",97aef99b976f1f158b463dcb04efc4bb88449a8707b07711aebaec5571104ebd,/facts/dei/EntityCommonStockSharesOutstanding/units/shares
KO,0000021344,0000021344-24-000060,2024-10-24T15:55:23.000Z,2024-09-27,diluted_shares,us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,shares,baseline_requires_frame_but_source_has_none,,"[{""accn"": ""0000021344-24-000060"", ""end"": ""2023-09-29"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""start"": ""2023-01-01"", ""val"": 4342000000}, {""accn"": ""0000021344-24-000060"", ""end"": ""2023-09-29"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2023Q3"", ""fy"": 2024, ""start"": ""2023-07-01"", ""val"": 4339000000}, {""accn"": ""0000021344-24-000060"", ""end"": ""2024-09-27"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""start"": ""2024-01-01"", ""val"": 4321000000}, {""accn"": ""0000021344-24-000060"", ""end"": ""2024-09-27"", ""filed"": ""2024-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""start"": ""2024-06-29"", ""val"": 4323000000}]",97aef99b976f1f158b463dcb04efc4bb88449a8707b07711aebaec5571104ebd,/facts/us-gaap/WeightedAverageNumberOfDilutedSharesOutstanding/units/shares
CAT,0000018230,0000018230-24-000053,2024-11-06T15:40:15.000Z,2024-09-30,cash_and_cash_equivalents,us-gaap:CashAndCashEquivalentsAtCarryingValue,USD,selected_by_baseline,5638000000,"[{""accn"": ""0000018230-24-000053"", ""end"": ""2023-12-31"", ""filed"": ""2024-11-06"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""val"": 6978000000}, {""accn"": ""0000018230-24-000053"", ""end"": ""2024-09-30"", ""filed"": ""2024-11-06"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2024Q3I"", ""fy"": 2024, ""val"": 5638000000}]",f88c89890d17da17bea2dd68e56dcddc640e58a67e7c94b81d754fb3ce4c1f7d,/facts/us-gaap/CashAndCashEquivalentsAtCarryingValue/units/USD
CAT,0000018230,0000018230-24-000053,2024-11-06T15:40:15.000Z,2024-09-30,cfo,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,baseline_requires_frame_but_source_has_none,,"[{""accn"": ""0000018230-24-000053"", ""end"": ""2023-09-30"", ""filed"": ""2024-11-06"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""start"": ""2023-01-01"", ""val"": 8882000000}, {""accn"": ""0000018230-24-000053"", ""end"": ""2024-09-30"", ""filed"": ""2024-11-06"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""fy"": 2024, ""start"": ""2024-01-01"", ""val"": 8642000000}]",f88c89890d17da17bea2dd68e56dcddc640e58a67e7c94b81d754fb3ce4c1f7d,/facts/us-gaap/NetCashProvidedByUsedInOperatingActivities/units/USD
